Á¦¸ñ,È¸Â÷,ÀÛ°¡,º°Á¡,µî·ÏÀÏ,´ñ±Û,ÁÁ¾Æ¿ä,½È¾î¿ä,³¯Â¥,ÃÑ ´ñ±Û¼ö
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,³­ ÀÌ·±°Å º°·Î¾ß ¿Ö ¿©ÀÚ°¡ ³²ÀÚ·ÎºÎÅÍ ±¸¿ø¹Þ¾Æ¾ß¸¸ ÇÏÁö??,19,7,20190723,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,ÀÛ°¡´Ô »ç»ó°ËÁõ Á» ÇÕ½Ã´Ù °«°Ç¹è ¤¡¤µ¤¢ÇØºÁ!!,5,5,20190720,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾ð³Ä ¶×¶×ÇØ¿ä^^,4,4,20190719,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¹¹¾ß ÀÌ ¶×¶¯ÀÌ´Â,5,2,20190715,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¸Á»ó¹° ¿ÀÁ³´Ù,7,1,20190714,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,³Ê¹«³Ê¹« ÁÁ¾Æ¿ä ±×¸®°í ´õ¸¹Àº°ÎÀ» ¸¸µé¾îÁÖ¼¼¿ä,0,4,20190714,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾î¸Ó³ª..Àü³²Ä£À»..?,2,0,20190714,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾ð³Äµé ¸Á»ó±×·Á³ù³ë ¤»¤»¤»¤»,16,5,20190709,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,³²ÁÖ°¡ ¿ì¸®µ¿³×¿¡¼­ À½¾Ç´ëÀåÀÏ °Í¸¸ °°³×..ÇãÂS,2,1,20190707,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,µÅÁöµé¤»¤»¤» ¿ª°ã¤»¤»¤»,8,14,20190707,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,±Í¿±´ë¤»¤»¤» Àú·± ¶×¶×ÇÑ »ç¶÷µéº¸°í ¾ð´Ï ÀÌ»µ¿ä^^¾ð´Ï ±×´ë·Îµµ ±¦Âú¾Æ¿ä^^ÇÏ´Â»õ³¢µéÀÌ ÁøÂ¥ Á¦ÀÏ³ª»Û»õ³¢µéÀÓ,22,6,20190707,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,"ÀÌ¸¸È­ º¼ ¶§¸¶´Ù ÃÖ¾Ö¶û ÀÌ¸§ °°¾Æ¼­ ¿òÂñÇÔ....¿ì¸® ¾ÆÁ¶½Ã´Â,,,30´ë ÈÄ¹ÝÀÌ¶ó....",1,0,20190707,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,²Ü²Ü,0,2,20190707,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿©ÁÖ »ì»« ¸ð½À ¿ÏÀü ¿¹»Ú´Ù ¤Ð¤Ð,1,4,20190630,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,»ì»©¸é µÇÀÝ¾Æ,8,6,20190629,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿¬¿¹ÀÎµéµµ ÀúÁ¤µµ·Î »ìÂî¸é Àú·± ÀÌ¸ñ±¸ºñ ¾È³ª¿À´Âµ¥ ¤»¤»¤»¤»¤»¤»¤»,0,0,20190817,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,Àú·¸°Ô ´ë³õ°í ²ÅÁÖ´Â »ç¶÷µé ¾ÆÁ÷µµ ¸¹¾Æ¿ä ,0,0,20190816,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,Çö±Ý...¤»¤»,0,0,20190815,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¤»¤»¤»¤»¤»¤»¤»¾ý¤»¤»¤»¤»¤»²ÜÀëÀ¥Å÷¹ß°ß,0,0,20190813,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾Æ´Ï º£´ñ±Ûµé ¿Ö ´Ù ¼ö´É 10ÀÏÀüÀÎµ¥ ¤»¤»¤»¤»,1,0,20190812,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,»ìÂî¸é ´«²¨Ç®¿¡µµ »ì ÂÇ¼­ ´«ÀÌ ÀÛ¾ÆÁú°Í °°Àºµ¥ ¿©ÁÖ´Â ³¯¾ÀÇÒ¶§º¸´Ù ´«ÀÌ ´õ ¿¹»µÁø°Í °°¾Æ¿ä. ½ÉÀå¿¡ ÇØ·Î¿î ´«ÀÌ¾ß¢½,0,0,20190811,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿©ÁÖ Àü³ª ±Í¿±´Ù¤Ð¤Ð¤Ð¤Ð¤Ð,0,0,20190811,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿©ÁÖ ±Í¿±´ç^^,0,0,20190811,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¢½¢½¢½¢½¢½¢½¢½,1,0,20190811,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,ÀÌ·± °³µÅÁö°¡ ÇÑ ´Þ ±¾À¸¸é ¿ø·¡´ë·Î ÂÊ ºüÁø´Ù°í? ¤»¤»¤»¤»¤»¤» ÁøÂ¥ »ì »©´Â °É °³¤¸À¸·Î ¾Æ³ª ÀÛ°¡ ¾ç¹Ý »ì ¾È»©ºÃÁö? »ì ºüÁö±â ÀüÈÄ ¸ø ÇØµµ 40Å°·Î´Â µÅº¸ÀÌ´Âµ¥ ÇÑ´Þ¿¡ 40Å°·Î »©·Á¸é Áö¹æÈíÀÔÀÌ ¾Æ´Ï¶ó Áö¹æ¿¡ ºÒ ºÙ¿©¼­ ÅÂ¿ö³¯·Áµµ ¸ø »©¿ä ÀÌ ¾ç¹Ý¾Æ,14,3,20190804,4773
